Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Min Price
0.04,0.96,0.01,9281.114363,49500000,0.000265679
0.04,0.96,0.02,18837.05129,49000000,0.000276682
0.04,0.96,0.03,28676.19284,48500000,0.000288161
0.04,0.96,0.04,38807.20051,48000000,0.000300138
0.04,0.96,0.05,49239.02596,47500000,0.000312636
0.04,0.96,0.06,59980.92207,47000000,0.000325681
0.04,0.96,0.07,71042.45463,46500000,0.000339299
0.04,0.96,0.08,82433.51442,46000000,0.000353517
0.04,0.96,0.09,94164.33002,45500000,0.000368365
0.04,0.96,0.1,106245.481,45000000,0.000383874
0.04,0.96,0.11,118687.9121,44500000,0.000400077
0.04,0.96,0.12,131502.9473,44000000,0.000417009
0.04,0.96,0.13,144702.3056,43500000,0.000434705
0.04,0.96,0.14,158298.117,43000000,0.000453205
0.04,0.96,0.15,172302.9387,42500000,0.00047255
0.04,0.96,0.16,186729.7736,42000000,0.000492782
0.04,0.96,0.17,201592.0879,41500000,0.000513949
0.04,0.96,0.18,216903.831,41000000,0.000536097
0.04,0.96,0.19,232679.4558,40500000,0.00055928
0.04,0.96,0.2,248933.94,40000000,0.000583552
0.04,0.96,0.21,265682.8085,39500000,0.00060897
0.04,0.96,0.22,282942.1572,39000000,0.000635597
0.04,0.96,0.23,300728.6781,38500000,0.000663497
0.04,0.96,0.24,319059.6849,38000000,0.000692741
0.04,0.96,0.25,337953.1412,37500000,0.000723403
0.04,0.96,0.26,357427.6895,37000000,0.000755562
0.04,0.96,0.27,377502.6817,36500000,0.000789301
0.04,0.96,0.28,398198.2117,36000000,0.000824711
0.04,0.96,0.29,419535.1494,35500000,0.000861886
0.04,0.96,0.3,441535.1773,35000000,0.00090093
0.04,0.96,0.31,464220.8281,34500000,0.00094195
0.04,0.96,0.32,487615.526,34000000,0.000985064
0.04,0.96,0.33,511743.6288,33500000,0.001030396
0.04,0.96,0.34,536630.4736,33000000,0.00107808
0.04,0.96,0.35,562302.4253,32500000,0.001128258
0.04,0.96,0.36,588786.927,32000000,0.001181085
0.04,0.96,0.37,616112.5551,31500000,0.001236724
0.04,0.96,0.38,644309.0765,31000000,0.001295353
0.04,0.96,0.39,673407.5102,30500000,0.001357162
0.04,0.96,0.4,703440.1926,30000000,0.001422356
0.04,0.96,0.41,734440.8475,29500000,0.001491156
0.04,0.96,0.42,766444.6604,29000000,0.001563799
0.04,0.96,0.43,799488.3579,28500000,0.001640544
0.04,0.96,0.44,833610.2927,28000000,0.001721667
0.04,0.96,0.45,868850.5347,27500000,0.001807471
0.04,0.96,0.46,905250.9686,27000000,0.00189828
0.04,0.96,0.47,942855.398,26500000,0.001994448
0.04,0.96,0.48,981709.6585,26000000,0.002096361
0.04,0.96,0.49,1021861.738,25500000,0.002204435
0.04,0.96,0.5,1063361.907,25000000,0.002319126
0.04,0.96,0.51,1106262.859,24500000,0.002440931
0.04,0.96,0.52,1150619.862,24000000,0.002570392
0.04,0.96,0.53,1196490.924,23500000,0.002708103
0.04,0.96,0.54,1243936.969,23000000,0.002854715
0.04,0.96,0.55,1293022.028,22500000,0.003010943
0.04,0.96,0.56,1343813.455,22000000,0.003177572
0.04,0.96,0.57,1396382.149,21500000,0.003355468
0.04,0.96,0.58,1450802.807,21000000,0.003545589
0.04,0.96,0.59,1507154.195,20500000,0.003748991
0.04,0.96,0.6,1565519.446,20000000,0.003966848
0.04,0.96,0.61,1625986.392,19500000,0.004200464
0.04,0.96,0.62,1688647.92,19000000,0.004451292
0.04,0.96,0.63,1753602.374,18500000,0.004720952
0.04,0.96,0.64,1820953.995,18000000,0.005011262
0.04,0.96,0.65,1890813.408,17500000,0.005324261
0.04,0.96,0.66,1963298.174,17000000,0.005662245
0.04,0.96,0.67,2038533.387,16500000,0.006027808
0.04,0.96,0.68,2116652.366,16000000,0.006423893
0.04,0.96,0.69,2197797.411,15500000,0.006853843
0.04,0.96,0.7,2282120.674,15000000,0.007321479
0.04,0.96,0.71,2369785.132,14500000,0.007831177
0.04,0.96,0.72,2460965.703,14000000,0.008387978
0.04,0.96,0.73,2555850.517,13500000,0.00899771
0.04,0.96,0.74,2654642.375,13000000,0.009667147
0.04,0.96,0.75,2757560.44,12500000,0.010404201
0.04,0.96,0.76,2864842.19,12000000,0.011218171
0.04,0.96,0.77,2976745.712,11500000,0.012120048
